,index,school_name,enrollment
479,479,Full Sail University,17804
480,480,Emory University,6770
481,481,Chattahoochee Technical College,8955
482,482,Vincennes University,7940
483,483,Kirkwood Community College,9444
484,484,Iowa State University,29520
485,485,Ashford University,36405
486,486,University of Southern Indiana,7950
487,487,Ball State University,15689
488,488,Illinois State University,18343
489,489,Parkland College,6647
490,490,Indiana University-South Bend,5165
491,491,Kansas State University,19443
492,492,Johnson County Community College,11610
493,493,University of Northern Iowa,9934
494,494,University of New Orleans,6185
495,495,Louisiana State University and Agricultural & Mechanical College,24904
496,496,Northwestern State University of Louisiana,6836
497,497,University of Southern Maine,5359
498,498,University of Maine,8677
499,499,Southern Maine Community College,5233
500,500,Tulane University of Louisiana,7841
501,501,Southeastern Louisiana University,11024
502,502,University of Louisiana at Lafayette,15091
503,503,Howard Community College,9168
504,504,Lansing Community College,13909
505,505,Ferris State University,12571
506,506,University of Michigan-Ann Arbor,28120
507,507,Towson University,18806
508,508,University of Maryland-Baltimore County,11144
509,509,Morgan State University,6294
510,510,Bridgewater State University,9497
511,511,Bunker Hill Community College,12024
512,512,College of Southern Maryland,7697
513,513,Davenport University,5774
514,514,Middlesex Community College,8202
515,515,Delta College,7672
516,516,Northeastern University,13620
517,517,Quinsigamond Community College,7223
518,518,Harvard University,7333
519,519,Michigan State University,38853
520,520,Northern Michigan University,7278
521,521,Michigan Technological University,5623
522,522,Tufts University,5236
523,523,Washtenaw Community College,10135
524,524,University of Mississippi,18472
525,525,Mississippi Gulf Coast Community College,8792
526,526,University of Nebraska-Lincoln,20182
527,527,Brookdale Community College,11805
528,528,Montclair State University,16129
529,529,New Jersey City University,6201
530,530,Hudson County Community College,8510
531,531,College of Southern Nevada,28685
532,532,University of Nevada-Reno,17295
533,533,Southern New Hampshire University,42247
534,534,Stockton University,7765
535,535,Ramapo College of New Jersey,5425
536,536,Seton Hall University,5818
537,537,Rowan University,12912
538,538,University of New Mexico-Main Campus,19886
539,539,Mercy College,6410
540,540,CUNY Borough of Manhattan Community College,26560
541,541,Hofstra University,6716
542,542,CUNY Lehman College,9874
543,543,CUNY York College,7264
544,544,Fordham University,8701
545,545,San Juan College,5669
546,546,Cornell University,14226
547,547,Rockland Community College,6040
548,548,Indiana Institute of Technology,6783
549,549,Bluegrass Community and Technical College,8753
550,550,University of Notre Dame,8425
551,551,Southern Illinois University-Carbondale,12858
552,552,Metropolitan State University,7244
553,553,Montana State University,13488
554,554,University of St Thomas,6076
555,555,Hinds Community College,10612
556,556,University of Minnesota-Twin Cities,30511
557,557,Northwest Missouri State University,5288
558,558,Saint Louis University,7502
559,559,Missouri University of Science and Technology,6747
560,560,Stony Brook University,16583
561,561,SUNY at Albany,12698
562,562,SUNY Oneonta,5825
563,563,Excelsior College,39735
564,564,Universidad del Turabo,14696
565,565,California State University-Sacramento,27323
566,566,California State University-Long Beach,32025
567,567,Arkansas State University-Main Campus,8909
568,568,California State University-Los Angeles,23424
569,569,University of Arkansas at Little Rock,7888
570,570,California State University-Dominguez Hills,12584
571,571,University of California-Irvine,25245
572,572,University of California-Los Angeles,29581
573,573,Troy University,14065
574,574,University of Alaska Anchorage,12348
575,575,Jefferson State Community College,7381
576,576,University of North Alabama,5698
577,577,Grand Canyon University,42444
578,578,Arizona Western College,6608
579,579,Yavapai College,5112
580,580,Arkansas Tech University,8799
581,581,California Polytechnic State University-San Luis Obispo,19972
582,582,Fullerton College,22529
583,583,Cypress College,15175
584,584,El Camino Community College District,21885
585,585,Cuesta College,7835
586,586,El Camino College-Compton Center,6484
587,587,Contra Costa College,5052
588,588,Gavilan College,5176
589,589,Crafton Hills College,5127
590,590,Citrus College,11599
591,591,Chabot College,12255
592,592,Chaffey College,18449
593,593,Coastline Community College,9773
594,594,Arizona State University-Tempe,41222
595,595,Florida International University,40208
596,596,Palm Beach State College,26351
597,597,Miami Dade College,57884
598,598,University of Florida,32376
599,599,Indian River State College,14403
600,600,University of Miami,10768
601,601,Purdue University-Calumet Campus,7242
602,602,Indiana University-Purdue University-Indianapolis,21217
603,603,Indiana University-Purdue University-Fort Wayne,8746
604,604,Indiana University-Bloomington,32694
605,605,Southern Illinois University-Edwardsville,11717
606,606,Indiana State University,10737
607,607,Indiana University-Southeast,5228
608,608,William Rainey Harper College,11213
609,609,Waubonsee Community College,7429
610,610,Northeastern Illinois University,7979
611,611,Loyola University Chicago,10276
612,612,Rock Valley College,6796
613,613,Fort Hays State University,11503
614,614,Orange Coast College,20809
615,615,Humboldt State University,8227
616,616,Shasta College,7432
617,617,College of the Sequoias,10174
618,618,University of San Diego,5551
619,619,San Diego Mesa College,20807
620,620,Reedley College,7858
621,621,Colorado Mesa University,8625
622,622,University of Colorado Colorado Springs,9514
623,623,University of Denver,5758
624,624,University of Colorado Denver/Anschutz Medical Campus,10855
625,625,Sierra College,16911
626,626,Ventura College,11735
627,627,West Los Angeles College,9892
628,628,Berkeley City College,6539
629,629,National University,8555
630,630,Los Angeles Harbor College,8737
631,631,Monterey Peninsula College,7646
632,632,Mission College,6900
633,633,Napa Valley College,5700
634,634,Red Rocks Community College,6518
635,635,Skyline College,8557
636,636,Los Angeles Mission College,8530
637,637,Los Angeles Southwest College,5720
638,638,Imperial Valley College,6816
639,639,Ohlone College,8576
640,640,Southern Connecticut State University,8106
641,641,Tallahassee Community College,11357
642,642,Saint Leo University,11575
643,643,Georgia Southern University,17173
644,644,University of Georgia,27335
645,645,Georgia Highlands College,5497
646,646,Georgia Institute of Technology-Main Campus,14463
647,647,West Georgia Technical College,5595
648,648,Clayton  State University,5920
649,649,Darton State College,5163
650,650,University of Hawaii at Manoa,13320
651,651,University of Delaware,18353
652,652,George Washington University,10901
653,653,Wilmington University,8674
654,654,Eastern Illinois University,7063
655,655,University of Chicago,5869
656,656,University of Illinois at Chicago,17368
657,657,Eastern Kentucky University,13493
658,658,University of Kentucky,22247
659,659,University of Louisville,14844
660,660,University of Kansas,18784
661,661,Pittsburg State University,5700
662,662,University of Massachusetts-Amherst,22405
663,663,University of Massachusetts-Lowell,13092
664,664,Massasoit Community College,6571
665,665,North Shore Community College,6197
666,666,Springfield Technical Community College,5658
667,667,University of Massachusetts-Dartmouth,7054
668,668,Salem State University,7091
669,669,Berklee College of Music,5112
670,670,Bristol Community College,8046
671,671,Baker College,22816
672,672,Mott Community College,7556
673,673,University of Maryland-College Park,26889
674,674,Western Kentucky University,15119
675,675,Harford Community College,5546
676,676,Johns Hopkins University,5862
677,677,University of Louisiana at Monroe,5957
678,678,Southern University and A & M College,5226
679,679,Bossier Parish Community College,6240
680,680,McNeese State University,6511
681,681,Louisiana Tech University,7629
682,682,Salisbury University,7612
683,683,Morehead State University,7038
684,684,Northern Kentucky University,11302
685,685,Somerset Community College,5161
686,686,Eastern Michigan University,17275
687,687,Henry Ford College,11129
688,688,Kalamazoo Valley Community College,7479
689,689,University of Michigan-Flint,6255
690,690,University of Michigan-Dearborn,6845
691,691,Wayne State University,16728
692,692,Western Michigan University,18179
693,693,Saginaw Valley State University,8434
694,694,Anoka-Ramsey Community College,5780
695,695,Saint Cloud State University,10610
696,696,Mississippi State University,16712
697,697,North Hennepin Community College,6024
698,698,Jackson State University,7436
699,699,Holmes Community College,5150
700,700,Winona State University,7833
701,701,Saint Paul College,5414
702,702,College of Staten Island CUNY,12321
703,703,CUNY Hunter College,15465
704,704,CUNY John Jay College of Criminal Justice,12545
705,705,CUNY Kingsborough Community College,12847
706,706,CUNY Brooklyn College,13172
707,707,CUNY City College,12468
708,708,CUNY Bronx Community College,10483
709,709,Onondaga Community College,8009
710,710,Monroe Community College,13385
711,711,Rochester Institute of Technology,12873
712,712,Rutgers University-New Brunswick,35102
713,713,New Mexico State University-Main Campus,11887
714,714,Raritan Valley Community College,6177
715,715,CUNY New York City College of Technology,16297
716,716,CUNY Queensborough Community College,13692
717,717,CUNY LaGuardia Community College,16047
718,718,CUNY Medgar Evers College,6257
719,719,Fashion Institute of Technology,8229
720,720,SUNY College at Oswego,7046
721,721,SUNY College at Plattsburgh,5272
722,722,State University of New York at New Paltz,6498
723,723,Marist College,5206
724,724,Ithaca College,6279
725,725,Thomas Edison State University,12283
726,726,Princeton University,5260
727,727,Touro College,5965
728,728,Appalachian State University,16126
729,729,SUNY Westchester Community College,11689
730,730,Cape Fear Community College,8067
731,731,SUNY Empire State College,9825
732,732,Syracuse University,14620
733,733,Kent State University at Kent,22779
734,734,Miami University-Oxford,15975
735,735,Cuyahoga Community College District,13590
736,736,Lakeland Community College,5119
737,737,University of North Dakota,10809
738,738,Wake Technical Community College,19625
739,739,Western Carolina University,8601
740,740,University of North Carolina at Pembroke,5508
741,741,University of North Carolina at Charlotte,22686
742,742,Cincinnati State Technical and Community College,7983
743,743,Case Western Reserve University,5039
744,744,Fayetteville Technical Community College,9667
745,745,Guilford Technical Community College,11290
746,746,Fayetteville State University,5087
747,747,Ohio State University-Main Campus,44131
748,748,Ohio University-Main Campus,23335
749,749,University of Toledo,14989
750,750,Youngstown State University,10196
751,751,Stark State College,8961
752,752,Oklahoma State University-Main Campus,20805
753,753,University of Oregon,20220
754,754,Central Oregon Community College,5322
755,755,Mt Hood Community College,7479
756,756,Chemeketa Community College,9380
757,757,Trident Technical College,12892
758,758,Midlands Technical College,10439
759,759,Greenville Technical College,10929
760,760,Coastal Carolina University,9289
761,761,Montgomery County Community College,10482
762,762,University of Pennsylvania,10666
763,763,Community College of Rhode Island,15255
764,764,University of Rhode Island,13342
765,765,Rhode Island College,7216
766,766,Villanova University,6835
767,767,Florence-Darlington Technical College,5115
768,768,Chattanooga State Community College,7612
769,769,University of South Dakota,6205
770,770,Minneapolis Community and Technical College,7506
771,771,Minnesota State University-Mankato,12259
772,772,Minnesota State University Moorhead,5045
773,773,Hennepin Technical College,5052
774,774,University of Central Missouri,9019
775,775,Lindenwood University,7787
776,776,Columbia College,13418
777,777,Saint Louis Community College,17312
778,778,Southeast Missouri State University,9098
779,779,Washington University in St Louis,7032
780,780,University of Nebraska at Omaha,12287
781,781,The University of Montana,10175
782,782,Southeast Community College Area,6516
783,783,Metropolitan Community College Area,6130
784,784,University of Missouri-Columbia,27393
785,785,University of Missouri-St Louis,8275
786,786,University of Missouri-Kansas City,7977
787,787,Park University,10105
788,788,Truckee Meadows Community College,8548
789,789,University of Nevada-Las Vegas,23325
790,790,County College of Morris,7170
791,791,Delaware County Community College,11369
792,792,Kutztown University of Pennsylvania,8244
793,793,Carnegie Mellon University,5964
794,794,Duquesne University,5943
795,795,University of Memphis,15553
796,796,Middle Tennessee State University,19446
797,797,East Tennessee State University,10960
798,798,Pellissippi State Community College,8251
799,799,Texas A & M University-Corpus Christi,9552
800,800,Tennessee Technological University,9475
801,801,Angelo State University,5325
802,802,Amarillo College,9019
803,803,The University of Tennessee-Martin,5988
804,804,Eastfield College,9945
805,805,El Centro College,7437
806,806,Cedar Valley College,5069
807,807,University of the Incarnate Word,6249
808,808,Texas A & M International University,6349
809,809,Northwest Vista College,13130
810,810,Kennesaw State University,29841
811,811,Moreno Valley College,7269
812,812,Independence University,5704
813,813,Colorado State University-Global Campus,6828
814,814,Pennsylvania State University-World Campus,6714
815,815,Columbia Southern University,14982
816,816,American Public University System,40833
817,817,Ultimate Medical Academy-Tampa,13372
818,818,Arizona State University-Downtown Phoenix,9158
819,819,Colorado Technical University-Online,19647
820,820,California State University-Channel Islands,5917
821,821,Florida Gulf Coast University,13635
822,822,South Plains College,7303
823,823,The University of Texas Rio Grande Valley,24473
824,824,San Jacinto Community College,23870
825,825,Tarleton State University,10749
826,826,McLennan Community College,6907
827,827,St Philip's College,8111
828,828,Richland College,14166
829,829,North Lake College,8284
830,830,University of Wisconsin Colleges,10950
831,831,Georgia State University-Perimeter College,18678
832,832,Milwaukee Area Technical College,13551
